,num0,num1,num2,num3,num4,num5,num6,num7,num8,num9,num10,num11,num12,num13,num14,num15,num16,num17,num18,num19,num20,num21,num22,num23,num24,num25,num26,num27,num28,num29,num30,num31,num32,num33,num34,num35,num36,num37,num38,num39,num40,num41,num42,num43,num44,num45,num46,num47,num48,num49,num50,num51,num52,num53,num54,num55,num56,num57,num58,num59,num60,num61,num62,num63,num64,num65,num66,num67,num68,num69,num70,num71,num72,num73,num74,num75,num76,num77,num78,num79,num80,num81,num82,num83,num84,num85,num86,num87,num88,num89,num90
0,9.64,0.74,3.5199999999999996,0.95,9.44,0.76,9.08,0.74,14.620000000000001,0.91,6.91,0.8,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,10.26,6.140000000000001,9.76,10.37,10.2,13.11,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,15.45
1,3.5199999999999996,0.95,9.44,0.76,9.08,0.74,14.620000000000001,0.91,6.91,0.8,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,6.140000000000001,9.76,10.37,10.2,13.11,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.64
2,9.44,0.76,9.08,0.74,14.620000000000001,0.91,6.91,0.8,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,9.76,10.37,10.2,13.11,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,3.5199999999999996
3,9.08,0.74,14.620000000000001,0.91,6.91,0.8,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,10.37,10.2,13.11,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,9.44
4,14.620000000000001,0.91,6.91,0.8,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,9.87,0.68,10.2,13.11,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,10.24,9.08
5,6.91,0.8,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,9.87,0.68,10.47,0.62,13.11,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,10.24,10.4,14.620000000000001
6,10.82,0.9,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,9.87,0.68,10.47,0.62,11.05,0.55,10.13,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,10.24,10.4,9.86,6.91
7,0.0,1.2,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,9.87,0.68,10.47,0.62,11.05,0.55,9.2,0.78,5.5,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,10.24,10.4,9.86,10.07,10.82
8,16.47,0.9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,9.87,0.68,10.47,0.62,11.05,0.55,9.2,0.78,7.0600000000000005,1.11,8.44,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,10.24,10.4,9.86,10.07,10.2,0.0
9,11.0,0.8,20.0,0.79,14.93,0.71,12.4,0.77,9.31,0.77,13.08,1.05,11.17,1.19,5.66,1.14,14.96,1.62,18.630000000000003,1.39,10.16,0.5,10.08,0.45,9.26,0.57,14.26,1.07,8.44,1.09,12.49,0.9,10.62,0.4,8.97,0.37,11.76,0.55,7.470000000000001,0.68,10.15,0.53,8.23,0.77,9.54,0.6,10.39,0.52,9.87,0.68,10.47,0.62,11.05,0.55,9.2,0.78,7.0600000000000005,1.11,11.1,0.93,9.17,11.77,8.05,11.39,11.74,10.37,15.71,12.01,12.129999999999999,11.379999999999999,10.78,9.39,10.3,10.18,9.92,10.96,10.12,10.14,11.44,8.98,9.96,9.22,9.58,10.62,10.24,10.4,9.86,10.07,10.2,12.21,16.47
